,380.0,412.0,443.0,490.0,529.0,566.0,672.0,763.0,867.0,1055.0,1385.0,1634.0,2211.0
300.0,,,,,,,,,,,,,
300.1,,,,,,,,,,,,,
300.2,,,,,,,,,,,,,
300.3,,,,,,,,,,,,,
300.4,,,,,,,,,,,,,
300.5,,,,,,,,,,,,,
300.6,,,,,,,,,,,,,
300.7,,,,,,,,,,,,,
300.8,,,,,,,,,,,,,
300.9,,,,,,,,,,,,,
301.0,,,,,,,,,,,,,
301.1,,,,,,,,,,,,,
301.2,,,,,,,,,,,,,
301.3,,,,,,,,,,,,,
301.4,,,,,,,,,,,,,
301.5,,,,,,,,,,,,,
301.6,,,,,,,,,,,,,
301.7,,,,,,,,,,,,,
301.8,,,,,,,,,,,,,
301.9,,,,,,,,,,,,,
302.0,,,,,,,,,,,,,
302.1,,,,,,,,,,,,,
302.2,,,,,,,,,,,,,
302.3,,,,,,,,,,,,,
302.4,,,,,,,,,,,,,
302.5,,,,,,,,,,,,,
302.6,,,,,,,,,,,,,
302.7,,,,,,,,,,,,,
302.8,,,,,,,,,,,,,
302.9,,,,,,,,,,,,,
303.0,,,,,,,,,,,,,
303.1,,,,,,,,,,,,,
303.2,,,,,,,,,,,,,
303.3,,,,,,,,,,,,,
303.4,,,,,,,,,,,,,
303.5,,,,,,,,,,,,,
303.6,,,,,,,,,,,,,
303.7,,,,,,,,,,,,,
303.8,,,,,,,,,,,,,
303.9,,,,,,,,,,,,,
304.0,,,,,,,,,,,,,
304.1,,,,,,,,,,,,,
304.2,,,,,,,,,,,,,
304.3,,,,,,,,,,,,,
304.4,,,,,,,,,,,,,
304.5,,,,,,,,,,,,,
304.6,,,,,,,,,,,,,
304.7,,,,,,,,,,,,,
304.8,,,,,,,,,,,,,
304.9,,,,,,,,,,,,,
305.0,,,,,,,,,,,,,
305.1,,,,,,,,,,,,,
305.2,,,,,,,,,,,,,
305.3,,,,,,,,,,,,,
305.4,,,,,,,,,,,,,
305.5,,,,,,,,,,,,,
305.6,,,,,,,,,,,,,
305.7,,,,,,,,,,,,,
305.8,,,,,,,,,,,,,
305.9,,,,,,,,,,,,,
306.0,,,,,,,,,,,,,
306.1,,,,,,,,,,,,,
306.2,,,,,,,,,,,,,
306.3,,,,,,,,,,,,,
306.4,,,,,,,,,,,,,
306.5,,,,,,,,,,,,,
306.6,,,,,,,,,,,,,
306.7,,,,,,,,,,,,,
306.8,,,,,,,,,,,,,
306.9,,,,,,,,,,,,,
307.0,,,,,,,,,,,,,
307.1,,,,,,,,,,,,,
307.2,,,,,,,,,,,,,
307.3,,,,,,,,,,,,,
307.4,,,,,,,,,,,,,
307.5,,,,,,,,,,,,,
307.6,,,,,,,,,,,,,
307.7,,,,,,,,,,,,,
307.8,,,,,,,,,,,,,
307.9,,,,,,,,,,,,,
308.0,,,,,,,,,,,,,
308.1,,,,,,,,,,,,,
308.2,,,,,,,,,,,,,
308.3,,,,,,,,,,,,,
308.4,,,,,,,,,,,,,
308.5,,,,,,,,,,,,,
308.6,,,,,,,,,,,,,
308.7,,,,,,,,,,,,,
308.8,,,,,,,,,,,,,
308.9,,,,,,,,,,,,,
309.0,,,,,,,,,,,,,
309.1,,,,,,,,,,,,,
309.2,,,,,,,,,,,,,
309.3,,,,,,,,,,,,,
309.4,,,,,,,,,,,,,
309.5,,,,,,,,,,,,,
309.6,,,,,,,,,,,,,
309.7,,,,,,,,,,,,,
309.8,,,,,,,,,,,,,
309.9,,,,,,,,,,,,,
310.0,,,,,,,,,,,,,
310.1,,,,,,,,,,,,,
310.2,,,,,,,,,,,,,
310.3,,,,,,,,,,,,,
310.4,,,,,,,,,,,,,
310.5,,,,,,,,,,,,,
310.6,,,,,,,,,,,,,
310.7,,,,,,,,,,,,,
310.8,,,,,,,,,,,,,
310.9,,,,,,,,,,,,,
311.0,,,,,,,,,,,,,
311.1,,,,,,,,,,,,,
311.2,,,,,,,,,,,,,
311.3,,,,,,,,,,,,,
311.4,,,,,,,,,,,,,
311.5,,,,,,,,,,,,,
311.6,,,,,,,,,,,,,
311.7,,,,,,,,,,,,,
311.8,,,,,,,,,,,,,
311.9,,,,,,,,,,,,,
312.0,,,,,,,,,,,,,
312.1,,,,,,,,,,,,,
312.2,,,,,,,,,,,,,
312.3,,,,,,,,,,,,,
312.4,,,,,,,,,,,,,
312.5,,,,,,,,,,,,,
312.6,,,,,,,,,,,,,
312.7,,,,,,,,,,,,,
312.8,,,,,,,,,,,,,
312.9,,,,,,,,,,,,,
313.0,,,,,,,,,,,,,
313.1,,,,,,,,,,,,,
313.2,,,,,,,,,,,,,
313.3,,,,,,,,,,,,,
313.4,,,,,,,,,,,,,
313.5,,,,,,,,,,,,,
313.6,,,,,,,,,,,,,
313.7,,,,,,,,,,,,,
313.8,,,,,,,,,,,,,
313.9,,,,,,,,,,,,,
314.0,,,,,,,,,,,,,
314.1,,,,,,,,,,,,,
314.2,,,,,,,,,,,,,
314.3,,,,,,,,,,,,,
314.4,,,,,,,,,,,,,
314.5,,,,,,,,,,,,,
314.6,,,,,,,,,,,,,
314.7,,,,,,,,,,,,,
314.8,,,,,,,,,,,,,
314.9,,,,,,,,,,,,,
315.0,,,,,,,,,,,,,
315.1,,,,,,,,,,,,,
